07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 130)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 133)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ restoreActionBar: Line 117)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ restoreActionBar: Line 122)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 268)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 130)
07-26 17:56:46.579    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 133)
07-26 17:56:46.579    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 276)
07-26 17:56:46.589    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onActivityCreated: Line 99)
07-26 17:56:46.589    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onCreateView: Line 88)
07-26 17:56:46.589    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ BookDatabase: Line 112)
07-26 17:56:46.599    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ BookDatabase: Line 114)
07-26 17:56:46.599    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ operateDatabase: Line 199)
07-26 17:56:46.599    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ operateDatabase: Line 230)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ displayListView: Line 126)
07-26 17:56:46.639    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:46.649    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:46.649    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ fetchAllBooks: Line 190)
07-26 17:56:46.649    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ fetchAllBooks: Line 198)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ displayListView: Line 179)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ restoreActionBar: Line 117)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ restoreActionBar: Line 122)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onCreateView: Line 110)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onAttach: Line 116)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onSectionAttached: Line 101)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onSectionAttached: Line 113)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onAttach: Line 120)
07-26 17:56:46.659    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onCreateView: Line 88)
07-26 17:56:46.669    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ BookDatabase: Line 112)
